2024-10-09 17:26:28,254 p=15164 u=kirill n=ansible | TASK [update cache] ********************************************************************************************************************************************************
2024-10-09 17:26:31,101 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:31,110 p=15164 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:26:31,155 p=15164 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:26:31,162 p=15164 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:26:32,401 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:32,413 p=15164 u=kirill n=ansible | TASK [base : add ssh key for susan] ****************************************************************************************************************************************
2024-10-09 17:26:32,991 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:33,017 p=15164 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:26:33,026 p=15164 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:26:34,305 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:34,316 p=15164 u=kirill n=ansible | TASK [web_servers : install apache, Lynx browser] **************************************************************************************************************************
2024-10-09 17:26:37,410 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:37,416 p=15164 u=kirill n=ansible | TASK [web_servers : start apache2 (this is not required for Ubuntu. But for Fedora and RHEL you need to start services manually after installation in most cases)] *********
2024-10-09 17:26:38,226 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:38,233 p=15164 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] ******************************************************************************************************************
2024-10-09 17:26:38,703 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:38,708 p=15164 u=kirill n=ansible | TASK [web_servers : restart apache2] ***************************************************************************************************************************************
2024-10-09 17:26:38,730 p=15164 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:26:38,737 p=15164 u=kirill n=ansible | TASK [web_servers : copy default html file for site] ***********************************************************************************************************************
2024-10-09 17:26:39,645 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:39,678 p=15164 u=kirill n=ansible | PLAY [workstations] ********************************************************************************************************************************************************
2024-10-09 17:26:39,681 p=15164 u=kirill n=ansible | PLAY RECAP *****************************************************************************************************************************************************************
2024-10-09 17:26:39,682 p=15164 u=kirill n=ansible | localhost                  : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2024-10-09 17:26:39,682 p=15164 u=kirill n=ansible | server-1.sber.ru           : ok=2    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:26:39,682 p=15164 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:32:15,671 p=15348 u=kirill n=ansible | PLAY [all] *****************************************************************************************************************************************************************
2024-10-09 17:32:15,685 p=15348 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:32:17,181 p=15348 u=kirill n=ansible | ok: [localhost]
2024-10-09 17:32:18,229 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:18,364 p=15348 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:32:18,370 p=15348 u=kirill n=ansible | TASK [update cache] ********************************************************************************************************************************************************
2024-10-09 17:32:21,740 p=15348 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:32:21,803 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:30,965 p=15348 u=kirill n=ansible | ok: [localhost]
2024-10-09 17:32:31,024 p=15348 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:32:31,030 p=15348 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:32:32,250 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:32,259 p=15348 u=kirill n=ansible | TASK [base : add ssh key for susan] ****************************************************************************************************************************************
2024-10-09 17:32:32,877 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:32,906 p=15348 u=kirill n=ansible | PLAY [server_2] ************************************************************************************************************************************************************
2024-10-09 17:32:32,912 p=15348 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:32:34,144 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:34,155 p=15348 u=kirill n=ansible | TASK [web_servers : install apache, Lynx browser] **************************************************************************************************************************
2024-10-09 17:32:37,316 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:37,322 p=15348 u=kirill n=ansible | TASK [web_servers : start apache2 (this is not required for Ubuntu. But for Fedora and RHEL you need to start services manually after installation in most cases)] *********
2024-10-09 17:32:38,049 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:38,054 p=15348 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] ******************************************************************************************************************
2024-10-09 17:32:38,592 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:38,597 p=15348 u=kirill n=ansible | TASK [web_servers : restart apache2] ***************************************************************************************************************************************
2024-10-09 17:32:38,612 p=15348 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:32:38,617 p=15348 u=kirill n=ansible | TASK [web_servers : copy default html file for site] ***********************************************************************************************************************
2024-10-09 17:32:39,509 p=15348 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:32:39,531 p=15348 u=kirill n=ansible | PLAY [workstations] ********************************************************************************************************************************************************
2024-10-09 17:32:39,547 p=15348 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:32:40,611 p=15348 u=kirill n=ansible | ok: [localhost]
2024-10-09 17:32:40,623 p=15348 u=kirill n=ansible | TASK [workstations : install unzip] ****************************************************************************************************************************************
2024-10-09 17:32:41,722 p=15348 u=kirill n=ansible | ok: [localhost]
